pollster,end_date,sample_size,state,hypothetical,party,candidate_name,pct,end_date_num,num_vote
YouGov,2024-10-31,942,Michigan,0,DEM,Kamala Harris,50,177,471
YouGov,2024-10-31,942,Michigan,0,REP,Donald Trump,47,177,443
YouGov,2024-10-31,790,Nevada,0,DEM,Kamala Harris,48,177,379
YouGov,2024-10-31,790,Nevada,0,REP,Donald Trump,47,177,371
YouGov,2024-10-31,773,Nevada,0,DEM,Kamala Harris,48,177,371
YouGov,2024-10-31,773,Nevada,0,REP,Donald Trump,47,177,363
YouGov,2024-10-31,790,Nevada,0,DEM,Kamala Harris,50,177,395
YouGov,2024-10-31,790,Nevada,0,REP,Donald Trump,49,177,387
YouGov,2024-10-31,773,Nevada,0,DEM,Kamala Harris,50,177,386
YouGov,2024-10-31,773,Nevada,0,REP,Donald Trump,49,177,379
YouGov,2024-10-31,987,North Carolina,0,DEM,Kamala Harris,47,177,464
YouGov,2024-10-31,987,North Carolina,0,REP,Donald Trump,48,177,474
YouGov,2024-10-31,949,North Carolina,0,DEM,Kamala Harris,48,177,456
YouGov,2024-10-31,949,North Carolina,0,REP,Donald Trump,49,177,465
YouGov,2024-10-31,987,North Carolina,0,DEM,Kamala Harris,49,177,484
YouGov,2024-10-31,987,North Carolina,0,REP,Donald Trump,49,177,484
YouGov,2024-10-31,949,North Carolina,0,DEM,Kamala Harris,49,177,465
YouGov,2024-10-31,949,North Carolina,0,REP,Donald Trump,50,177,474
YouGov,2024-10-31,982,Pennsylvania,0,DEM,Kamala Harris,48,177,471
YouGov,2024-10-31,982,Pennsylvania,0,REP,Donald Trump,46,177,452
YouGov,2024-10-31,956,Pennsylvania,0,DEM,Kamala Harris,49,177,468
YouGov,2024-10-31,956,Pennsylvania,0,REP,Donald Trump,46,177,440
YouGov,2024-10-31,982,Pennsylvania,0,DEM,Kamala Harris,50,177,491
YouGov,2024-10-31,982,Pennsylvania,0,REP,Donald Trump,48,177,471
YouGov,2024-10-31,956,Pennsylvania,0,DEM,Kamala Harris,51,177,488
YouGov,2024-10-31,956,Pennsylvania,0,REP,Donald Trump,48,177,459
YouGov,2024-10-31,889,Wisconsin,0,DEM,Kamala Harris,48,177,427
YouGov,2024-10-31,889,Wisconsin,0,REP,Donald Trump,45,177,400
YouGov,2024-10-31,867,Wisconsin,0,DEM,Kamala Harris,49,177,425
YouGov,2024-10-31,867,Wisconsin,0,REP,Donald Trump,45,177,390
YouGov,2024-10-31,889,Wisconsin,0,DEM,Kamala Harris,51,177,453
YouGov,2024-10-31,889,Wisconsin,0,REP,Donald Trump,47,177,418
YouGov,2024-10-31,867,Wisconsin,0,DEM,Kamala Harris,51,177,442
YouGov,2024-10-31,867,Wisconsin,0,REP,Donald Trump,47,177,407
Suffolk,2024-10-30,500,Pennsylvania,0,DEM,Kamala Harris,48.6,176,243
Suffolk,2024-10-30,500,Pennsylvania,0,REP,Donald Trump,48.6,176,243
Marist,2024-10-30,1444,Wisconsin,0,DEM,Kamala Harris,50,176,722
Marist,2024-10-30,1444,Wisconsin,0,REP,Donald Trump,48,176,693
Marist,2024-10-30,1330,Wisconsin,0,DEM,Kamala Harris,50,176,665
Marist,2024-10-30,1330,Wisconsin,0,REP,Donald Trump,48,176,638
Marist,2024-10-30,1558,Pennsylvania,0,DEM,Kamala Harris,51,176,795
Marist,2024-10-30,1558,Pennsylvania,0,REP,Donald Trump,47,176,732
Marist,2024-10-30,1400,Pennsylvania,0,DEM,Kamala Harris,50,176,700
Marist,2024-10-30,1400,Pennsylvania,0,REP,Donald Trump,48,176,672
Marist,2024-10-30,1356,Michigan,0,DEM,Kamala Harris,51,176,692
Marist,2024-10-30,1356,Michigan,0,REP,Donald Trump,48,176,651
Marist,2024-10-30,1214,Michigan,0,DEM,Kamala Harris,51,176,619
Marist,2024-10-30,1214,Michigan,0,REP,Donald Trump,48,176,583
The Washington Post,2024-10-30,1204,Pennsylvania,0,DEM,Kamala Harris,48,176,578
The Washington Post,2024-10-30,1204,Pennsylvania,0,REP,Donald Trump,47,176,566
The Washington Post,2024-10-30,1204,Pennsylvania,0,DEM,Kamala Harris,48,176,578
The Washington Post,2024-10-30,1204,Pennsylvania,0,REP,Donald Trump,47,176,566
Data Orbital,2024-10-28,550,Arizona,0,DEM,Kamala Harris,41.9,174,230
Data Orbital,2024-10-28,550,Arizona,0,REP,Donald Trump,49.7,174,273
Monmouth,2024-10-28,824,Pennsylvania,0,DEM,Kamala Harris,46,174,379
Monmouth,2024-10-28,824,Pennsylvania,0,REP,Donald Trump,47,174,387
The Washington Post,2024-10-28,1003,Michigan,0,DEM,Kamala Harris,47,174,471
The Washington Post,2024-10-28,1003,Michigan,0,REP,Donald Trump,46,174,461
The Washington Post,2024-10-28,1003,Michigan,0,DEM,Kamala Harris,45,174,451
The Washington Post,2024-10-28,1003,Michigan,0,REP,Donald Trump,47,174,471
YouGov,2024-10-28,1273,Pennsylvania,0,DEM,Kamala Harris,49,174,624
YouGov,2024-10-28,1273,Pennsylvania,0,REP,Donald Trump,49,174,624
YouGov,2024-10-28,1206,Nebraska,0,DEM,Kamala Harris,40,174,482
YouGov,2024-10-28,1206,Nebraska,0,REP,Donald Trump,55,174,663
YouGov,2024-10-28,408,Nebraska CD-1,0,DEM,Kamala Harris,43,174,175
YouGov,2024-10-28,408,Nebraska CD-1,0,REP,Donald Trump,51,174,208
YouGov,2024-10-28,393,Nebraska CD-2,0,DEM,Kamala Harris,52,174,204
YouGov,2024-10-28,393,Nebraska CD-2,0,REP,Donald Trump,44,174,173
YouGov,2024-10-28,404,Nebraska CD-3,0,DEM,Kamala Harris,25,174,101
YouGov,2024-10-28,404,Nebraska CD-3,0,REP,Donald Trump,70,174,283
Emerson,2024-10-27,1000,Michigan,0,DEM,Kamala Harris,49.3,173,493
Emerson,2024-10-27,1000,Michigan,0,REP,Donald Trump,49.8,173,498
Suffolk,2024-10-27,500,Michigan,1,DEM,Kamala Harris,47,173,235
Suffolk,2024-10-27,500,Michigan,1,REP,Donald Trump,47.4,173,237
Emerson,2024-10-26,1000,Massachusetts,0,DEM,Kamala Harris,60.2,172,602
Emerson,2024-10-26,1000,Massachusetts,0,REP,Donald Trump,37.2,172,372
Siena/NYT,2024-10-26,1180,Texas,0,DEM,Kamala Harris,41,172,484
Siena/NYT,2024-10-26,1180,Texas,0,REP,Donald Trump,52,172,614
Siena/NYT,2024-10-26,1180,Texas,0,DEM,Kamala Harris,40,172,472
Siena/NYT,2024-10-26,1180,Texas,0,REP,Donald Trump,50,172,590
Siena/NYT,2024-10-26,1180,Texas,0,DEM,Kamala Harris,42,172,496
Siena/NYT,2024-10-26,1180,Texas,0,REP,Donald Trump,52,172,614
Siena/NYT,2024-10-26,1180,Texas,0,DEM,Kamala Harris,40,172,472
Siena/NYT,2024-10-26,1180,Texas,0,REP,Donald Trump,51,172,602
Siena/NYT,2024-10-26,1194,Nebraska,0,DEM,Kamala Harris,40,172,478
Siena/NYT,2024-10-26,1194,Nebraska,0,REP,Donald Trump,55,172,657
Siena/NYT,2024-10-26,1194,Nebraska,0,DEM,Kamala Harris,38,172,454
Siena/NYT,2024-10-26,1194,Nebraska,0,REP,Donald Trump,53,172,633
Siena/NYT,2024-10-26,1194,Nebraska,0,DEM,Kamala Harris,40,172,478
Siena/NYT,2024-10-26,1194,Nebraska,0,REP,Donald Trump,55,172,657
Siena/NYT,2024-10-26,1194,Nebraska,0,DEM,Kamala Harris,39,172,466
Siena/NYT,2024-10-26,1194,Nebraska,0,REP,Donald Trump,53,172,633
Siena/NYT,2024-10-26,500,Nebraska CD-2,0,DEM,Kamala Harris,54,172,270
Siena/NYT,2024-10-26,500,Nebraska CD-2,0,REP,Donald Trump,42,172,210
Siena/NYT,2024-10-26,500,Nebraska CD-2,0,DEM,Kamala Harris,53,172,265
Siena/NYT,2024-10-26,500,Nebraska CD-2,0,REP,Donald Trump,41,172,205
Emerson,2024-10-25,1000,Montana,0,DEM,Kamala Harris,39.6,171,396
Emerson,2024-10-25,1000,Montana,0,REP,Donald Trump,58.6,171,586
CES / YouGov,2024-10-25,2077,Arizona,0,DEM,Kamala Harris,49,171,1018
CES / YouGov,2024-10-25,2077,Arizona,0,REP,Donald Trump,49,171,1018
CES / YouGov,2024-10-25,2066,Arizona,0,DEM,Kamala Harris,47,171,971
CES / YouGov,2024-10-25,2066,Arizona,0,REP,Donald Trump,51,171,1054
CES / YouGov,2024-10-25,5952,Florida,0,DEM,Kamala Harris,47,171,2797
CES / YouGov,2024-10-25,5952,Florida,0,REP,Donald Trump,51,171,3036
CES / YouGov,2024-10-25,5916,Florida,0,DEM,Kamala Harris,46,171,2721
CES / YouGov,2024-10-25,5916,Florida,0,REP,Donald Trump,52,171,3076
CES / YouGov,2024-10-25,2682,Georgia,0,DEM,Kamala Harris,48,171,1287
CES / YouGov,2024-10-25,2682,Georgia,0,REP,Donald Trump,49,171,1314
CES / YouGov,2024-10-25,2663,Georgia,0,DEM,Kamala Harris,46,171,1225
CES / YouGov,2024-10-25,2663,Georgia,0,REP,Donald Trump,51,171,1358
CES / YouGov,2024-10-25,2347,Michigan,0,DEM,Kamala Harris,52,171,1220
CES / YouGov,2024-10-25,2347,Michigan,0,REP,Donald Trump,45,171,1056
CES / YouGov,2024-10-25,2336,Michigan,0,DEM,Kamala Harris,51,171,1191
CES / YouGov,2024-10-25,2336,Michigan,0,REP,Donald Trump,46,171,1075
CES / YouGov,2024-10-25,1278,Minnesota,0,DEM,Kamala Harris,52,171,665
CES / YouGov,2024-10-25,1278,Minnesota,0,REP,Donald Trump,44,171,562
CES / YouGov,2024-10-25,1275,Minnesota,0,DEM,Kamala Harris,53,171,676
CES / YouGov,2024-10-25,1275,Minnesota,0,REP,Donald Trump,43,171,548
CES / YouGov,2024-10-25,940,Nevada,0,DEM,Kamala Harris,53,171,498
CES / YouGov,2024-10-25,940,Nevada,0,REP,Donald Trump,44,171,414
CES / YouGov,2024-10-25,933,Nevada,0,DEM,Kamala Harris,51,171,476
CES / YouGov,2024-10-25,933,Nevada,0,REP,Donald Trump,47,171,439
CES / YouGov,2024-10-25,380,New Hampshire,0,DEM,Kamala Harris,52,171,198
CES / YouGov,2024-10-25,380,New Hampshire,0,REP,Donald Trump,45,171,171
CES / YouGov,2024-10-25,375,New Hampshire,0,DEM,Kamala Harris,52,171,195
CES / YouGov,2024-10-25,375,New Hampshire,0,REP,Donald Trump,45,171,169
CES / YouGov,2024-10-25,2330,North Carolina,0,DEM,Kamala Harris,49,171,1142
CES / YouGov,2024-10-25,2330,North Carolina,0,REP,Donald Trump,48,171,1118
CES / YouGov,2024-10-25,2308,North Carolina,0,DEM,Kamala Harris,48,171,1108
CES / YouGov,2024-10-25,2308,North Carolina,0,REP,Donald Trump,50,171,1154
CES / YouGov,2024-10-25,3120,Ohio,0,DEM,Kamala Harris,45,171,1404
CES / YouGov,2024-10-25,3120,Ohio,0,REP,Donald Trump,52,171,1622
CES / YouGov,2024-10-25,3091,Ohio,0,DEM,Kamala Harris,45,171,1391
CES / YouGov,2024-10-25,3091,Ohio,0,REP,Donald Trump,52,171,1607
CES / YouGov,2024-10-25,3708,Pennsylvania,0,DEM,Kamala Harris,50,171,1854
CES / YouGov,2024-10-25,3708,Pennsylvania,0,REP,Donald Trump,47,171,1743
CES / YouGov,2024-10-25,3685,Pennsylvania,0,DEM,Kamala Harris,49,171,1806
CES / YouGov,2024-10-25,3685,Pennsylvania,0,REP,Donald Trump,48,171,1769
CES / YouGov,2024-10-25,6526,Texas,0,DEM,Kamala Harris,47,171,3067
CES / YouGov,2024-10-25,6526,Texas,0,REP,Donald Trump,51,171,3328
CES / YouGov,2024-10-25,6473,Texas,0,DEM,Kamala Harris,47,171,3042
CES / YouGov,2024-10-25,6473,Texas,0,REP,Donald Trump,51,171,3301
CES / YouGov,2024-10-25,2027,Virginia,0,DEM,Kamala Harris,53,171,1074
CES / YouGov,2024-10-25,2027,Virginia,0,REP,Donald Trump,44,171,892
CES / YouGov,2024-10-25,2015,Virginia,0,DEM,Kamala Harris,52,171,1048
CES / YouGov,2024-10-25,2015,Virginia,0,REP,Donald Trump,44,171,887
CES / YouGov,2024-10-25,1552,Wisconsin,0,DEM,Kamala Harris,51,171,792
CES / YouGov,2024-10-25,1552,Wisconsin,0,REP,Donald Trump,46,171,714
CES / YouGov,2024-10-25,1542,Wisconsin,0,DEM,Kamala Harris,50,171,771
CES / YouGov,2024-10-25,1542,Wisconsin,0,REP,Donald Trump,47,171,725
Marquette Law School,2024-10-24,753,Wisconsin,0,DEM,Kamala Harris,50,170,376
Marquette Law School,2024-10-24,753,Wisconsin,0,REP,Donald Trump,49,170,369
Marquette Law School,2024-10-24,753,Wisconsin,1,DEM,Kamala Harris,46,170,346
Marquette Law School,2024-10-24,753,Wisconsin,1,REP,Donald Trump,44,170,331
Marquette Law School,2024-10-24,834,Wisconsin,0,DEM,Kamala Harris,51,170,425
Marquette Law School,2024-10-24,834,Wisconsin,0,REP,Donald Trump,49,170,409
Marquette Law School,2024-10-24,834,Wisconsin,1,DEM,Kamala Harris,46,170,384
Marquette Law School,2024-10-24,834,Wisconsin,1,REP,Donald Trump,43,170,359
University of Massachusetts Lowell/YouGov,2024-10-24,600,Michigan,1,DEM,Kamala Harris,49,170,294
University of Massachusetts Lowell/YouGov,2024-10-24,600,Michigan,1,REP,Donald Trump,45,170,270
Emerson,2024-10-23,915,New Hampshire,0,DEM,Kamala Harris,50.9,169,466
Emerson,2024-10-23,915,New Hampshire,0,REP,Donald Trump,47.2,169,432
Suffolk,2024-10-23,500,Wisconsin,1,DEM,Kamala Harris,46.6,169,233
Suffolk,2024-10-23,500,Wisconsin,1,REP,Donald Trump,48,169,240
University of Massachusetts Lowell/YouGov,2024-10-23,650,North Carolina,0,DEM,Kamala Harris,45,169,292
University of Massachusetts Lowell/YouGov,2024-10-23,650,North Carolina,0,REP,Donald Trump,47,169,306
University of Massachusetts Lowell/YouGov,2024-10-23,800,Pennsylvania,0,DEM,Kamala Harris,48,169,384
University of Massachusetts Lowell/YouGov,2024-10-23,800,Pennsylvania,0,REP,Donald Trump,47,169,376
University of Massachusetts Lowell/YouGov,2024-10-23,600,New Hampshire,0,DEM,Kamala Harris,50,169,300
University of Massachusetts Lowell/YouGov,2024-10-23,600,New Hampshire,0,REP,Donald Trump,43,169,258
Emerson,2024-10-22,860,Pennsylvania,0,DEM,Kamala Harris,49,168,421
Emerson,2024-10-22,860,Pennsylvania,0,REP,Donald Trump,50.7,168,436
Emerson,2024-10-22,950,North Carolina,0,DEM,Kamala Harris,48.2,168,458
Emerson,2024-10-22,950,North Carolina,0,REP,Donald Trump,50.2,168,477
Emerson,2024-10-22,800,Wisconsin,0,DEM,Kamala Harris,49.2,168,394
Emerson,2024-10-22,800,Wisconsin,0,REP,Donald Trump,49.9,168,399
Emerson,2024-10-22,825,South Dakota,0,DEM,Kamala Harris,36.5,168,301
Emerson,2024-10-22,825,South Dakota,0,REP,Donald Trump,62,168,512
Marist,2024-10-22,1356,Georgia,0,DEM,Kamala Harris,49,168,664
Marist,2024-10-22,1356,Georgia,0,REP,Donald Trump,48,168,651
Marist,2024-10-22,1193,Georgia,0,DEM,Kamala Harris,49,168,585
Marist,2024-10-22,1193,Georgia,0,REP,Donald Trump,49,168,585
Marist,2024-10-22,1410,North Carolina,0,DEM,Kamala Harris,48,168,677
Marist,2024-10-22,1410,North Carolina,0,REP,Donald Trump,49,168,691
Marist,2024-10-22,1226,North Carolina,0,DEM,Kamala Harris,48,168,588
Marist,2024-10-22,1226,North Carolina,0,REP,Donald Trump,50,168,613
Marist,2024-10-22,1329,Arizona,0,DEM,Kamala Harris,49,168,651
Marist,2024-10-22,1329,Arizona,0,REP,Donald Trump,49,168,651
Marist,2024-10-22,1193,Arizona,0,DEM,Kamala Harris,49,168,585
Marist,2024-10-22,1193,Arizona,0,REP,Donald Trump,50,168,596
Emerson,2024-10-21,865,Maryland,0,DEM,Kamala Harris,64,167,554
Emerson,2024-10-21,865,Maryland,0,REP,Donald Trump,34.4,167,298
Emerson,2024-10-21,815,Texas,0,DEM,Kamala Harris,45.9,167,374
Emerson,2024-10-21,815,Texas,0,REP,Donald Trump,53.1,167,433
Emerson,2024-10-20,860,Florida,0,DEM,Kamala Harris,45.9,166,395
Emerson,2024-10-20,860,Florida,0,REP,Donald Trump,53.6,166,461
YouGov,2024-10-17,1139,California,0,DEM,Kamala Harris,63,163,718
YouGov,2024-10-17,1139,California,0,REP,Donald Trump,34,163,387
YouGov,2024-10-17,1139,California,0,DEM,Kamala Harris,63,163,718
YouGov,2024-10-17,1139,California,0,REP,Donald Trump,34,163,387
YouGov,2024-10-17,1062,Pennsylvania,0,DEM,Kamala Harris,50,163,531
YouGov,2024-10-17,1062,Pennsylvania,0,REP,Donald Trump,47,163,499
YouGov,2024-10-17,1043,Pennsylvania,0,DEM,Kamala Harris,50,163,522
YouGov,2024-10-17,1043,Pennsylvania,0,REP,Donald Trump,48,163,501
YouGov,2024-10-17,1094,Florida,0,DEM,Kamala Harris,46,163,503
YouGov,2024-10-17,1094,Florida,0,REP,Donald Trump,51,163,558
YouGov,2024-10-17,1076,Florida,0,DEM,Kamala Harris,46,163,495
YouGov,2024-10-17,1076,Florida,0,REP,Donald Trump,51,163,549
YouGov,2024-10-17,1108,Texas,0,DEM,Kamala Harris,45,163,499
YouGov,2024-10-17,1108,Texas,0,REP,Donald Trump,50,163,554
YouGov,2024-10-17,1075,Texas,0,DEM,Kamala Harris,46,163,494
YouGov,2024-10-17,1075,Texas,0,REP,Donald Trump,51,163,548
YouGov,2024-10-17,1089,New York,0,DEM,Kamala Harris,58,163,632
YouGov,2024-10-17,1089,New York,0,REP,Donald Trump,38,163,414
YouGov,2024-10-17,1089,New York,0,DEM,Kamala Harris,58,163,632
YouGov,2024-10-17,1089,New York,0,REP,Donald Trump,38,163,414
YouGov,2024-10-16,1435,Arizona,0,DEM,Kamala Harris,48,162,689
YouGov,2024-10-16,1435,Arizona,0,REP,Donald Trump,51,162,732
Emerson,2024-10-14,1000,California,0,DEM,Kamala Harris,61,160,610
Emerson,2024-10-14,1000,California,0,REP,Donald Trump,36.6,160,366
Siena/NYT,2024-10-10,857,Pennsylvania,0,DEM,Kamala Harris,50,156,428
Siena/NYT,2024-10-10,857,Pennsylvania,0,REP,Donald Trump,47,156,403
Siena/NYT,2024-10-10,857,Pennsylvania,0,DEM,Kamala Harris,49,156,420
Siena/NYT,2024-10-10,857,Pennsylvania,0,REP,Donald Trump,45,156,386
Siena/NYT,2024-10-10,857,Pennsylvania,0,DEM,Kamala Harris,50,156,428
Siena/NYT,2024-10-10,857,Pennsylvania,0,REP,Donald Trump,47,156,403
Siena/NYT,2024-10-10,857,Pennsylvania,0,DEM,Kamala Harris,49,156,420
Siena/NYT,2024-10-10,857,Pennsylvania,0,REP,Donald Trump,45,156,386
Siena/NYT,2024-10-10,808,Arizona,0,DEM,Kamala Harris,46,156,372
Siena/NYT,2024-10-10,808,Arizona,0,REP,Donald Trump,51,156,412
Siena/NYT,2024-10-10,808,Arizona,0,DEM,Kamala Harris,45,156,364
Siena/NYT,2024-10-10,808,Arizona,0,REP,Donald Trump,50,156,404
Siena/NYT,2024-10-10,808,Arizona,0,DEM,Kamala Harris,45,156,364
Siena/NYT,2024-10-10,808,Arizona,0,REP,Donald Trump,51,156,412
Siena/NYT,2024-10-10,808,Arizona,0,DEM,Kamala Harris,44,156,356
Siena/NYT,2024-10-10,808,Arizona,0,REP,Donald Trump,49,156,396
University of Massachusetts Lowell/YouGov,2024-10-10,600,New Hampshire,0,DEM,Kamala Harris,50,156,300
University of Massachusetts Lowell/YouGov,2024-10-10,600,New Hampshire,0,REP,Donald Trump,41,156,246
YouGov,2024-10-10,1091,Texas,0,DEM,Kamala Harris,46,156,502
YouGov,2024-10-10,1091,Texas,0,REP,Donald Trump,51,156,556
University of Massachusetts Lowell/YouGov,2024-10-09,800,Pennsylvania,0,DEM,Kamala Harris,46,155,368
University of Massachusetts Lowell/YouGov,2024-10-09,800,Pennsylvania,0,REP,Donald Trump,45,155,360
Emerson,2024-10-08,1000,Arizona,0,DEM,Kamala Harris,48.2,154,482
Emerson,2024-10-08,1000,Arizona,0,REP,Donald Trump,50.5,154,505
Emerson,2024-10-08,1000,Georgia,0,DEM,Kamala Harris,49.8,154,498
Emerson,2024-10-08,1000,Georgia,0,REP,Donald Trump,49.7,154,497
Emerson,2024-10-08,950,Michigan,0,DEM,Kamala Harris,49.7,154,472
Emerson,2024-10-08,950,Michigan,0,REP,Donald Trump,49.6,154,471
Emerson,2024-10-08,900,Nevada,0,DEM,Kamala Harris,49.2,154,443
Emerson,2024-10-08,900,Nevada,0,REP,Donald Trump,48.1,154,433
Emerson,2024-10-08,1000,North Carolina,0,DEM,Kamala Harris,49,154,490
Emerson,2024-10-08,1000,North Carolina,0,REP,Donald Trump,49.9,154,499
Emerson,2024-10-08,1000,Pennsylvania,0,DEM,Kamala Harris,49,154,490
Emerson,2024-10-08,1000,Pennsylvania,0,REP,Donald Trump,49.7,154,497
Emerson,2024-10-08,1000,Wisconsin,0,DEM,Kamala Harris,49.2,154,492
Emerson,2024-10-08,1000,Wisconsin,0,REP,Donald Trump,49.9,154,499
Siena/NYT,2024-10-08,656,Montana,0,DEM,Kamala Harris,39,154,256
Siena/NYT,2024-10-08,656,Montana,0,REP,Donald Trump,57,154,374
Siena/NYT,2024-10-08,656,Montana,0,DEM,Kamala Harris,38,154,249
Siena/NYT,2024-10-08,656,Montana,0,REP,Donald Trump,56,154,367
Siena/NYT,2024-10-08,656,Montana,0,DEM,Kamala Harris,40,154,262
Siena/NYT,2024-10-08,656,Montana,0,REP,Donald Trump,57,154,374
Siena/NYT,2024-10-08,656,Montana,0,DEM,Kamala Harris,39,154,256
Siena/NYT,2024-10-08,656,Montana,0,REP,Donald Trump,56,154,367
Marist,2024-10-07,1257,Florida,0,DEM,Kamala Harris,47,153,591
Marist,2024-10-07,1257,Florida,0,REP,Donald Trump,51,153,641
Marist,2024-10-07,1410,Florida,0,DEM,Kamala Harris,47,153,663
Marist,2024-10-07,1410,Florida,0,REP,Donald Trump,51,153,719
Marist,2024-10-07,1365,Texas,0,DEM,Kamala Harris,46,153,628
Marist,2024-10-07,1365,Texas,0,REP,Donald Trump,52,153,710
Marist,2024-10-07,1186,Texas,0,DEM,Kamala Harris,46,153,546
Marist,2024-10-07,1186,Texas,0,REP,Donald Trump,53,153,629
Marist,2024-10-07,1511,Ohio,0,DEM,Kamala Harris,46,153,695
Marist,2024-10-07,1511,Ohio,0,REP,Donald Trump,52,153,786
Marist,2024-10-07,1327,Ohio,0,DEM,Kamala Harris,46,153,610
Marist,2024-10-07,1327,Ohio,0,REP,Donald Trump,52,153,690
The Washington Post,2024-10-07,1002,Ohio,0,DEM,Kamala Harris,45,153,451
The Washington Post,2024-10-07,1002,Ohio,0,REP,Donald Trump,51,153,511
The Washington Post,2024-10-07,1002,Ohio,0,DEM,Kamala Harris,44,153,441
The Washington Post,2024-10-07,1002,Ohio,0,REP,Donald Trump,51,153,511
Siena/NYT,2024-10-06,622,Florida,0,DEM,Kamala Harris,41,152,255
Siena/NYT,2024-10-06,622,Florida,0,REP,Donald Trump,55,152,342
Siena/NYT,2024-10-06,622,Florida,0,DEM,Kamala Harris,40,152,249
Siena/NYT,2024-10-06,622,Florida,0,REP,Donald Trump,53,152,330
Siena/NYT,2024-10-06,622,Florida,0,DEM,Kamala Harris,41,152,255
Siena/NYT,2024-10-06,622,Florida,0,REP,Donald Trump,54,152,336
Siena/NYT,2024-10-06,622,Florida,0,DEM,Kamala Harris,40,152,249
Siena/NYT,2024-10-06,622,Florida,0,REP,Donald Trump,53,152,330
Suffolk,2024-10-05,500,Massachusetts,0,DEM,Kamala Harris,61.2,151,306
Suffolk,2024-10-05,500,Massachusetts,0,REP,Donald Trump,32.2,151,161
Siena/NYT,2024-10-04,617,Texas,0,DEM,Kamala Harris,44,150,271
Siena/NYT,2024-10-04,617,Texas,0,REP,Donald Trump,50,150,308
Siena/NYT,2024-10-04,617,Texas,0,DEM,Kamala Harris,42,150,259
Siena/NYT,2024-10-04,617,Texas,0,REP,Donald Trump,49,150,302
Siena/NYT,2024-10-04,617,Texas,0,DEM,Kamala Harris,44,150,271
Siena/NYT,2024-10-04,617,Texas,0,REP,Donald Trump,50,150,308
Siena/NYT,2024-10-04,617,Texas,0,DEM,Kamala Harris,41,150,253
Siena/NYT,2024-10-04,617,Texas,0,REP,Donald Trump,48,150,296
YouGov/Center for Working Class Politics,2024-10-02,1000,Pennsylvania,0,DEM,Kamala Harris,46.8,148,468
YouGov/Center for Working Class Politics,2024-10-02,1000,Pennsylvania,0,REP,Donald Trump,44.7,148,447
The Washington Post,2024-09-29,1001,North Carolina,0,DEM,Kamala Harris,48,145,480
The Washington Post,2024-09-29,1001,North Carolina,0,REP,Donald Trump,50,145,500
The Washington Post,2024-09-29,1001,North Carolina,0,DEM,Kamala Harris,47,145,470
The Washington Post,2024-09-29,1001,North Carolina,0,REP,Donald Trump,50,145,500
Emerson,2024-09-28,920,Arizona,0,DEM,Kamala Harris,47.6,144,438
Emerson,2024-09-28,920,Arizona,0,REP,Donald Trump,51.7,144,476
Emerson,2024-09-28,850,North Carolina,0,DEM,Kamala Harris,49.1,144,417
Emerson,2024-09-28,850,North Carolina,0,REP,Donald Trump,49.9,144,424
Emerson,2024-09-28,1000,Pennsylvania,0,DEM,Kamala Harris,49.3,144,493
Emerson,2024-09-28,1000,Pennsylvania,0,REP,Donald Trump,48.8,144,488
Siena/NYT,2024-09-26,680,Nebraska CD-2,0,DEM,Kamala Harris,51,142,347
